No.,Peak,Range,Location,Prominence (m),Height (m),Col (m),Parent
1.,Mount Everest,Himalayas,"Nepal, China","8,848","8,848",0,None
2.,Aconcagua,Andes,Argentina,"6,962","6,962",0,None
3.,Denali,Alaska Range,United States,"6,144","6,191",47,Aconcagua
4.,Mount Kilimanjaro,Eastern Rift mountains,Tanzania,"5,885","5,895",10,Everest
5.,Pico Cristóbal Colón,Sierra Nevada de Santa Marta,Colombia,"5,509","5,700",191,Aconcagua
6.,Mount Logan,Saint Elias Mountains,Canada,"5,250","5,959",709,Denali
7.,Pico de Orizaba,Trans-Mexican Volcanic Belt,Mexico,"4,922","5,636",714,Mount Logan
8.,Vinson Massif,Sentinel Range,Antarctica,"4,892","4,892",0,None
9.,Puncak Jaya,Sudirman Range,Indonesia,"4,884","4,884",0,None
10.,Mount Elbrus,Caucasus Mountains,Russia,"4,741","5,642",901,Everest
11.,Mont Blanc,Alps,"France, Italy","4,695","4,808",113,Everest
12.,Mount Damavand,Alborz,Iran,"4,667","5,610",943,Mount Elbrus
13.,Klyuchevskaya Sopka,Kamchatka,Russia,"4,649","4,750",101,Everest
14.,Nanga Parbat,Himalayas,Pakistan,"4,608","8,125","3,517",Everest
15.,Mauna Kea,Hawaiian Islands,United States,"4,205","4,205",0,None
16.,Jengish Chokusu,Kakshaal Too,"China, Kyrgyzstan","4,148","7,439","3,291",Everest
17.,Bogda Peak,Bogda Shan,China,"4,122","5,445","1,323",Everest
18.,Chimborazo,Cordillera Occidental,Ecuador,"4,118","6,263","2,145",Aconcagua
19.,Namcha Barwa,Himalayas,China,"4,106","7,782","3,676",Everest
20.,Mount Kinabalu,Crocker Range,Malaysia,"4,095","4,095",0,None
21.,Mount Rainier,Cascade Range,United States,"4,023","4,393",370,"Denali, Orizaba"
22.,K2,Karakoram,"China, Pakistan","4,017","8,611","4,594",Everest
23.,Ras Dashen,Semien Mountains,Ethiopia,"3,997","4,550",553,Kilimanjaro
24.,Volcán Tajumulco,Sierra Madre de Chiapas,Guatemala,"3,980","4,220",240,"Denali, Orizaba"
25.,Pico Bolívar,Sierra Nevada de Mérida,Venezuela,"3,957","4,981","1,024","Aconcagua, Chimborazo"
26.,Mount Fairweather,Saint Elias Mountains,"Canada, United States","3,955","4,671",722,Mount Logan
27.,Yushan,Yushan Range,Taiwan,"3,952","3,952",0,None
28.,Mount Stanley,Rwenzori Mountains,"DR Congo, Uganda","3,951","5,109","1,158",Kilimanjaro
29.,Kanchenjunga,Himalayas,"Nepal, India","3,922","8,586","4,664",Everest
30.,Tirich Mir,Hindu Kush,Pakistan,"3,908","7,708","3,800","Everest, K2"
31.,Mount Cameroon,Cameroon line,Cameroon,"3,901","4,040",139,"Kilimanjaro, Stanley"
32.,Mount Kenya,Eastern Rift mountains,Kenya,"3,825","5,199","1,374",Kilimanjaro
33.,Mount Kerinci,Barisan Mountains,Indonesia,"3,805","3,805",0,None
34.,Mount Erebus,Ross Island,Antarctica,"3,794","3,794",0,None
35.,Mount Fuji,Honshu,Japan,"3,776","3,776",0,None
36.,Toubkal,Atlas Mountains,Morocco,"3,757","4,167",410,"Kilimanjaro, Stanley"
37.,Cerro Chirripó,Cordillera de Talamanca,Costa Rica,"3,727","3,820",93,"Aconcagua, Chimborazo"
38.,Mount Rinjani,Lesser Sunda Islands,Indonesia,"3,726","3,726",0,None
39.,Aoraki/Mount Cook,Southern Alps,New Zealand,"3,724","3,724",0,None
40.,Teide,Tenerife,Spain,"3,718","3,718",0,None
41.,Mount Boising,Finisterre Range,Papua New Guinea,"3,709","4,150",441,Puncak Jaya
42.,Monte San Valentin,Andes,Chile,"3,696","4,058",362,Aconcagua
43.,Gunnbjørn Fjeld,Watkins Range,Greenland,"3,694","3,694",0,None
44.,Ojos del Salado,Andes,"Argentina, Chile","3,688","6,893","3,205",Aconcagua
45.,Semeru,Java,Indonesia,"3,676","3,676",0,None
46.,Ritacuba Blanco,Cordillera Oriental,Colombia,"3,645","5,410","1,765","Aconcagua, Chimborazo"
47.,Mount Gongga,Daxue Mountains,China,"3,642","7,556","3,914","Everest, K2"
48.,Mount Ararat,Armenian Highlands,Turkey (in Arabic),"3,611","5,137","1,526",Damavand
49.,Kongur Tagh,Kongur Shan,China,"3,585","7,649","4,064","Everest, K2"
50.,Mount Blackburn,Wrangell Mountains,United States,"3,535","4,996","1,461",Mount Logan
51.,Mount Hayes,Alaska Range,United States,"3,501","4,216",715,Denali
52.,Mount Latimojong,Sulawesi,Indonesia,"3,478","3,478",0,None
53.,Mount Saint Elias,Saint Elias Mountains,"Canada, United States","3,448","5,489","2,041",Mount Logan
54.,Ismoil Somoni Peak,Pamir Mountains,Tajikistan,"3,402","7,495","4,093","Everest, K2"
55.,Dhaulagiri,Himalayas,Nepal,"3,357","8,167","4,810",K2
56.,Mercedario,Cordillera de la Ramada,Argentina,"3,353","6,720","3,367",Aconcagua
57.,Lautaro,Andes,Chile,"3,345","3,623",278,Aconcagua
58.,Belukha Mountain,Altai Mountains,"Kazakhstan, Russia","3,343","4,506","1,163","Everest, K2"
59.,Mount Etna,Sicily,Italy,"3,329","3,329",0,None
60.,Monte San Lorenzo,Andes,"Argentina, Chile","3,319","3,706",387,Aconcagua
61.,Mount Karisimbi,Virunga Mountains,"DR Congo, Rwanda","3,312","4,507","1,195",Mount Stanley
62.,Jabal an Nabi Shu'ayb,Sarawat Mountains,Yemen,"3,311","3,666",355,"Ararat, Everest"
63.,Mount Waddington,Coast Mountains,Canada,"3,289","4,019",730,Mount Fairweather
64.,Mulhacén,Sierra Nevada,Spain,"3,285","3,479",194,Mont Blanc
65.,Mount Slamet,Java,Indonesia,"3,284","3,428",144,Semeru
66.,Sabalan,Alborz,Iran,"3,283","4,811","1,528",Mount Ararat
67.,Mount Marcus Baker,Chugach Mountains,United States,"3,269","4,016",747,Mount Hayes
68.,Sauyr Zhotasy,Saur Mountains,"China, Kazakhstan","3,252","3,840",588,"Belukha, Everest"
69.,Cerro del Bolsón,Andes,Argentina,"3,252","5,552","2,300","Aconcagua, Salado"
70.,Tomort,Tian Shan,China,"3,243","4,886","1,643",Bogda Feng
71.,Jade Dragon Snow Mountain,Yun Range,China,"3,202","5,596","2,394","Everest, K2"
72.,Mount Meru,Eastern Rift mountains,Tanzania,"3,170","4,565","1,395",Mount Kenya
73.,Shiveluch,Kamchatka,Russia,"3,168","3,307",139,Klyuchevskaya
74.,Nanda Devi,Himalayas,India,"3,139","7,816","4,677","Dhaulagiri, K2"
75.,Ichinsky,Sredinny Range,Russia,"3,125","3,607",482,Klyuchevskaya
76.,Mount Lawu,Java,Indonesia,"3,118","3,265",147,Semeru
77.,Batura Sar,Karakoram,Pakistan,"3,118","7,795","4,677",K2
78.,Mount Siple,Siple Island,Antarctica,"3,110","3,110",0,None
79.,Pico Duarte,Cordillera Central,Dominican Republic,"3,098","3,098",0,None
80.,Manaslu,Himalayas,Nepal,"3,092","8,163","5,071",Everest
81.,Mount Whitney,Sierra Nevada,United States,"3,073","4,418","1,345",Orizaba
82.,Piton des Neiges,Réunion,France,"3,069","3,069",0,None
83.,Raung,Java,Indonesia,"3,069","3,332",263,Semeru
84.,Xuelian Feng,Tian Shan,China,"3,068","6,627","3,559",Jengish Chokusu
85.,Haleakalā,Hawaiian Islands,United States,"3,055","3,055",0,None
86.,Mount Lucania,Saint Elias Mountains,Canada,"3,046","5,226","2,180",Mount Logan
87.,Mount Agung,Bali,Indonesia,"3,031","3,031",0,None
88.,Mount Binaiya,Seram,Indonesia,"3,027","3,027",0,None
89.,Popocatepetl,Trans-Mexican Volcanic Belt,Mexico,"3,020","5,400","2,380",Orizaba
90.,Pico Basilé,Bioko,Equatorial Guinea,"3,011","3,011",0,None
91.,Koryaksky,Sredinny Range,Russia,"2,999","3,456",457,Klyuchevskaya
92.,Gangkhar Puensum,Himalayas,"China, Bhutan","2,995","7,570","4,575",Kangchenjunga
93.,Mount Stephenson,Douglas Range,Antarctica,"2,987","2,987",0,None
94.,Annapurna,Himalayas,Nepal,"2,984","8,091","5,107",Everest
95.,Pik Talgar,Trans-Ili Alatau,Kazakhstan,"2,982","4,979","1,997","Everest, Jengish Chokusu"
96.,Mount Shasta,Cascade Range,United States,"2,977","4,317","1,340","Orizaba, Whitney"
97.,Mount Wilhelm,Bismarck Range,Papua New Guinea,"2,969","4,509","1,540",Puncak Jaya
98.,Pico do Ramelau,Timor,Timor-Leste,"2,963","2,963",0,None
99.,Mount Apo,Apo–Talomo,Philippines,"2,954","2,954",0,None
100.,Gyala Peri,Nyenchen Tanglha Mountains,China,"2,942","7,294","4,352","Dhaulagiri, K2"
101.,Mount Leuser,Sumatra,Indonesia,"2,941","3,466",525,Mount Kerinci
102.,Mount Paget,Allardyce Range,South Georgia,"2,934","2,934",0,None
103.,Chakragil,Kunlun Mountains,China,"2,934","6,760","3,826","Everest, Gongga"
104.,Emi Koussi,Tibesti Mountains,Chad,"2,934","3,445",511,"Karisimbi, Kilimanjaro"
105.,Monarch Mountain,Coast Mountains,Canada,"2,930","3,555",625,"Denali, Waddington"
106.,Mount Suckling,Owen Stanley Range,Papua New Guinea,"2,925","3,676",751,Puncak Jaya
107.,Mount Pulag,Cordillera Central,Philippines,"2,922","2,922",0,None
108.,El Mela,Andes,Argentina,"2,907","4,150","1,243","Aconcagua, Salado"
109.,Taftan,Baluchestan Mountains,Iran,"2,901","3,941","1,040",Sabalan
110.,Jabal Shams,Al Hajar Mountains,Oman,"2,899","3,019",120,"Everest, Jabal an Nabi Shu'ayb"
111.,Shishapangma,Himalayas,China,"2,897","8,027","5,130",Annapurna
112.,Pico da Neblina,Cerro de la Neblina,Brazil,"2,886","2,994",108,"Aconcagua, Ritacuba Blanco"
113.,Saramati,Patkai,"India, Myanmar","2,885","3,826",941,"Dhaulagiri, Everest"
114.,Maromokotro,Madagascar,Madagascar,"2,876","2,876",0,None
115.,Mount Shishaldin,Aleutian Range,United States,"2,869","2,869",0,None
116.,Moncong Lompotabang,Sulawesi,Indonesia,"2,857","2,874",17,Latimojong
117.,Buni Zom,Hindu Raj,Pakistan,"2,845","6,542","3,697","Everest, K2"
118.,Kuh-e Bandaka,Hindu Kush,Afghanistan,"2,834","6,812","3,978",Tirich Mir
119.,Mount Robson,Rainbow Range,Canada,"2,829","3,959","1,130","Orizaba, Whitney"
120.,Mount Fogo,Fogo,Cape Verde,"2,829","2,829",0,None
121.,Kamet,Himalayas,India,"2,825","7,756","4,931",Nanda Devi
122.,Rakaposhi,Karakoram,Pakistan,"2,818","7,788","4,970",K2
123.,Aneto,Pyrenees,Spain,"2,812","3,404",592,Mulhacén
124.,Arjuno-Welirang,Java,Indonesia,"2,812","3,339",527,Semeru
125.,Jiuding Shan,Daxue Mountains,China,"2,808","4,969",2161,"Everest, K2"
